Date,Close,Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
23-04-2018,8930.879883,6925190144,642.5479736,2386830080,0.997847021,3075480064,13.62530041,132041000
24-04-2018,9697.5,10678800384,708.15802,3581860096,1.004760027,5033249792,15.26599979,165599008
25-04-2018,8845.740234,11083100160,615.4160156,4216140032,0.991809011,6126580224,13.29090023,144820992
26-04-2018,9281.509766,8970559488,662.809021,2984009984,0.999614,4206320128,14.65359974,127788000
27-04-2018,8987.049805,7566289920,647.0319824,2598129920,1.004150033,4060179968,14.32909966,101995000
28-04-2018,9348.480469,7805479936,683.6779785,2496659968,0.999334991,4066050048,15.20009995,122360000
29-04-2018,9419.080078,8853000192,688.8809814,2740559872,0.998016,5167799808,15.05620003,105495000
30-04-2018,9240.549805,8673920000,669.9240112,2853100032,0.99891901,4498440192,14.31210041,83765800
01-05-2018,9119.009766,7713019904,673.6129761,2678960128,1.003489971,3901110016,14.16429996,75433904
02-05-2018,9235.919922,7558159872,687.1489868,2822269952,0.997464001,3711889920,14.40919971,80730304
03-05-2018,9743.860352,10207299584,779.5430298,4210939904,0.997973025,4307829760,14.65260029,104726000
04-05-2018,9700.759766,8217829888,785.6240234,3533410048,0.998561025,3844979968,14.3295002,79940496
05-05-2018,9858.150391,7651939840,816.1199951,3035040000,0.996284008,3848780032,14.36870003,71502096
06-05-2018,9654.799805,7222280192,792.3109741,3105570048,0.997201979,3948859904,13.94260025,74731600
07-05-2018,9373.009766,7394019840,753.7249756,4316120064,0.997237027,4137240064,13.70250034,59800200
08-05-2018,9234.820313,7415869952,752.8569946,2920489984,1.002120018,3317769984,13.52900028,57865500
09-05-2018,9325.179688,7226890240,752.2750244,2877870080,1.000509977,3236689920,14.66020012,99046304
10-05-2018,9043.94043,6906699776,727.2769775,2748950016,1.001340032,3430200064,13.81840038,68250000
11-05-2018,8441.490234,8488520192,679.5859985,3290080000,1.002249956,4733060096,12.9939003,57027500
12-05-2018,8504.889648,6821380096,686.0479736,2668480000,1.001099944,4539990016,12.94390011,44001000
13-05-2018,8723.94043,5866379776,733.4959717,2362500096,1.003250003,3179099904,13.11870003,70816496
14-05-2018,8716.790039,7364149760,730.5490112,3005110016,1.001270056,3820280064,12.87069988,49317700
15-05-2018,8510.379883,6705710080,708.8709717,2523069952,1.001139998,3315440128,12.56779957,45696200
