Date,Open,High,Low,Close
28-Apr-06,3306.55,3434.95,3268.95,3426.3
29-Apr-06,3455.25,3486.75,3455.25,3481.3
02-May-06,3514.9,3543.15,3513.8,3528.5
03-May-06,3527.65,3564.15,3507.5,3558.9
04-May-06,3573.9,3600.2,3549.7,3575.3
05-May-06,3585.05,3603.2,3566.85,3589.8
08-May-06,3625.8,3628.95,3607.55,3614.5
09-May-06,3629.35,3641.35,3578.6,3638
10-May-06,3659.4,3675.45,3650.25,3672.1
11-May-06,3689.25,3689.25,3612.9,3624.4
12-May-06,3579.2,3615.85,3563.3,3574
15-May-06,3553.55,3561.4,3406.25,3423.4
16-May-06,3422.25,3455.5,3293.25,3437.3
17-May-06,3488.85,3550.75,3479.65,3543.8
18-May-06,3487.95,3487.95,3276.1,3296.5
19-May-06,3381.25,3381.25,3120.55,3155.4
22-May-06,3183.95,3183.95,2798.7,2986.3
23-May-06,2985.05,3119.65,2910.2,3106.1
24-May-06,3137.2,3160.3,3009.45,3029.6
25-May-06,2972.95,3093.95,2939.8,3075.9
26-May-06,3119.75,3177.05,3089.6,3117.4
29-May-06,3115.5,3164.15,3108.85,3132.1
30-May-06,3142.95,3165.35,3088.65,3103.7
31-May-06,2991,3022.65,2902.2,2998.2
01-Jun-06,3037.6,3052.7,2871.6,2894.1
02-Jun-06,2905.95,3012.85,2870.25,3006.8
05-Jun-06,3017.7,3031.6,2929.45,2935.8
06-Jun-06,2847.55,2926.7,2838.85,2859.7
07-Jun-06,2830.35,2876.9,2726.4,2768.7
08-Jun-06,2728.6,2728.6,2584.15,2621.6
09-Jun-06,2603.7,2778.1,2603.7,2769.2
12-Jun-06,2764.1,2771.7,2674.55,2686.2
13-Jun-06,2602.5,2607.75,2546.35,2568.1
14-Jun-06,2605.6,2667.25,2499.55,2533.8
15-Jun-06,2603.25,2704.1,2575.35,2692.7
16-Jun-06,2772.8,2853.15,2760.05,2787.6
19-Jun-06,2797.45,2831.15,2750.65,2817.5
20-Jun-06,2786.85,2792.6,2745.65,2768.7
21-Jun-06,2759.5,2832.45,2750.85,2827.2
22-Jun-06,2896.2,2917.9,2885.55,2896.7
23-Jun-06,2872.6,2953.4,2831.05,2936.5
25-Jun-06,2971.45,2972.7,2932.95,2945.4
26-Jun-06,2952.6,2952.6,2823.45,2835
27-Jun-06,2850.8,2887.55,2792.7,2867.4
28-Jun-06,2806.95,2884.7,2806.95,2863.3
29-Jun-06,2905.75,2925.95,2868.6,2878.6
30-Jun-06,2946.2,3006.9,2946.2,3003.1
03-Jul-06,3024.25,3030.2,2991.65,3022.9
04-Jul-06,3041.3,3048.05,3004.1,3011.8
05-Jul-06,2999.55,3069.15,2997.35,3065.9
06-Jul-06,3026,3052.95,3013.7,3030.1
07-Jul-06,3055.6,3066.4,2937.1,2953.3
10-Jul-06,2954.1,3017.95,2943.1,3012.4
11-Jul-06,3010.05,3015.2,2976.3,2990.8
12-Jul-06,2978.15,3065.15,2965.8,3060.9
13-Jul-06,3050.8,3062.4,3020.15,3038.1
14-Jul-06,2981.3,3008.55,2964.65,2995.6
17-Jul-06,2976.1,2976.1,2881.6,2887.4
18-Jul-06,2902.65,2911.5,2846.25,2868.5
19-Jul-06,2897,2906.55,2795.55,2806.7
20-Jul-06,2883.65,2908.7,2862.4,2892.2
21-Jul-06,2868.45,2871.15,2805.4,2818.7
24-Jul-06,2788.2,2864.95,2755.9,2858.6
25-Jul-06,2888.3,2920.4,2884.1,2914.7
26-Jul-06,2923.65,2988.6,2899.45,2978.6
27-Jul-06,3002.85,3029,2978.7,3020.6
28-Jul-06,3018.95,3036.3,2986.15,3005.4
31-Jul-06,3043.35,3053.1,3012.55,3020.8
